"Create Campaign","Create Campaign"
"Campaigns","Campaigns"
"Gateway","Gateway"
"Create Gateway","Create Gateway"
"Manage Campaigns","Manage Campaigns"
"Tracks","Tracks"
"Geolocation","Geolocation"
"Active campaigns","Active campaigns"
"Campaigns Sens","Campaigns Sens"
"Sended NewsLetter","Sended NewsLetter"
"ID","ID"
"Title","Title"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Host","Host"
"User","User"
"Port","Port"
"Secure","Secure"
"None","None"
"SSL/TLS","SSL/TLS"
"STARTTLS","STARTTLS"
"Action","Action"
"Edit","Edit"
"CSV","CSV"
"XML","XML"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Save Gateway","Save Gateway"
"Delete Gateway","Delete Gateway"
"Save And Test Connection","Save And Test Connection"
"Edit Email Gateway '%s'","Edit Email Gateway '%s'"
"Add New Email Gateway","Add New Email Gateway"
"Gateway Information","Gateway Information"
"Email Gateway Details","Email Gateway Details"
"Queue Title","Queue Title"
"Queue Start","Queue Start"
"Queue Finish","Queue Finish"
"Success","Success"
"Errors","Errors"
"Recipients","Recipients"
"Sent","Sent"
"Cancelled","Cancelled"
"Not Sent","Not Sent"
"Sending","Sending"
"Paused","Paused"
"Save Queue","Save Queue"
"Edit Queue - %s","Edit Queue - %s"
"New Queue","New Queue"
"Start","Start"
"Pause","Pause"
"Do you really want to cancel the queue?","Do you really want to cancel the queue?"
"Cancel","Cancel"
"Resume","Resume"
"Preview","Preview"
"Queue Information","Queue Information"
"Statistic","Statistic"
"Sended","Sended"
"Opens","Opens"
"Clicks","Clicks"
"Unopens","Unopens"
"Unsubscribe","Unsubscribe"
"Errors","Errors"
"No Campaigns Found","No Campaigns Found"
"Segment","Segment"
"Yes","Yes"
"No","No"
"Track Opens","Track Opens"
"Track Clicks","Track Clicks"
"Google Analitics","Google Analitics"
"Google Analitics Title","Google Analitics Title"
"Send Test","Send Test"
"Queue","Queue"
"Campaign Settings","Campaign Settings"
"Customer segment","Customer segment"
"Email gateway","Email gateway"
"Track customers clicks with Google Analytics","Track customers clicks with Google Analytics"
"Goodle Campaign Source","Goodle Campaign Source"
"Google Campaign Medium","Google Campaign Medium"
"Google Campaign Name","Google Campaign Name"
"Template Information","Template Information"
"Campaign Title","Campaign Title"
"Apply design from","Apply design from"
"Test email address","Test email address"
"Email subject","Email subject"
"From Name","From Name"
"From Email","From Email"
"Insert Variable...","Insert Variable..."
"Template Content","Template Content"
"Template Styles","Template Styles"
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"Unsubscribe Campaign","Unsubscribe Campaign"
"Default Variables","Default Variables"
"Unsubscribe Campaign","Unsubscribe Campaign"
"NewsletterBooster","NewsletterBooster"
"Wrong params for unsubscribe campaign","Wrong params for unsubscribe campaign"
"Wrong customer email","Wrong customer email"
"Unsubscribe complete saving","Unsubscribe complete saving"
"You are already unsubscribed from campaign","You are already unsubscribed from campaign"
"New Campaign","New Campaign"
"Edit Campaign","Edit Campaign"
"This Email Campaign no longer exists.","This Email Campaign no longer exists."
"The campaign has been saved.","The campaign has been saved."
"The email template has been deleted.","The email template has been deleted."
"An error occurred while deleting email template data. Please review log and try again.","An error occurred while deleting email template data. Please review log and try again."
"Unable to find a Email Template to delete.","Unable to find a Email Template to delete."
"Test email was successfully sened","Test email was successfully sened"
"NewsletterBooster Dashboard","NewsletterBooster Dashboard"
"Gateway does not exist","Gateway does not exist"
"Email Gateway was successfully saved","Email Gateway was successfully saved"
"Connection with mail server was succesfully established","Connection with mail server was succesfully established"
"Unable to find item to save","Unable to find item to save"
"Email Gateway was successfully saved","Email Gateway was successfully saved"
"Email Gateway was successfully deleted","Email Gateway was successfully deleted"
"Please select item(s)","Please select item(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Newsletter Queue","Newsletter Queue"
"Wrong newsletterbooster campaign.","Wrong newsletterbooster campaign."
"Templates Master","Templates Master"
"Newsletter Booster","Newsletter Booster"
"Dashboard","Dashboard"
"Email Gateway","Email Gateway"
"Templates-master","Templates-master"
"Number of emails sent per cron iteration","Number of emails sent per cron iteration"
"GeoIP Chart","GeoIP Chart"
"GeoIPRegion filename","GeoIPRegion filename"
"GeoCity filename","GeoCity filename"
"NesletterBooster Campaign Dashboard","NesletterBooster Campaign Dashboard"
"Last 5 Campaigns","Last 5 Campaigns"
"Last 5 Sended Newsletter","Last 5 Sended Newsletter"
"Back To World Map","Back To World Map"
"No active campaign choosen.","No active campaign choosen."
"Values","Values"
"No active campaign choosen.","No active campaign choosen."
"Choose Store View:","Choose Store View:"
"Choose Campaign:","Choose Campaign:"
"Email Preview","Email Preview"
"NewsletterBooster Message Preview","NewsletterBooster Message Preview"
