"Additional attribute","Additional attribute"
"Change this parameter only if you have specific device size multi store website","Change this parameter only if you have specific device size multi store website""
"Construct your product name's template with other product attribute. eg. <strong>{name} from {manufacturer}</strong>.","Construct your product name's template with other product attribute. eg. <strong>{name} from {manufacturer}</strong>."
"Criteo Tags and Feed","Criteo Tags and Feed"
"Cron needs to be set up for the feed to be automaticaly generated","Cron needs to be set up for the feed to be automaticaly generated"
"Generate an XML file available at this url : <strong>http://{{your-domain}}/media/export-criteo.xml</strong>","Generate an XML file available at this url : <strong>http://{{your-domain}}/media/export-criteo.xml</strong>"
"Manually Export default store products","Manually Export default store products"
"Please save configuration before running the export manually","Please save configuration before running the export manually"
"Please select the product attribute to be included in the feed as description","Please select the product attribute to be included in the feed as description"
"Product Name's Template","Product Name's Template"
"Run Export Manually","Run Export Manually"
"XML Feed Configuration","XML Feed Configuration"
